id,name,rank,averageRating,bggRating,numRatings,numOwned,weight,minPlayers,maxPlayers,minTime,maxTime,link
232219,Dragon Castle,735,7.13013,6.7582,7489,11014,1.9714,1,4,30,45,https://boardgamegeek.com/boardgame/232219
167400,Ashes Reborn: Rise of the Phoenixborn,736,7.28882,6.75804,5930,11030,2.9061,2,4,30,120,https://boardgamegeek.com/boardgame/167400
226320,My Little Scythe,737,7.25981,6.75646,5482,12286,2.0088,1,6,45,60,https://boardgamegeek.com/boardgame/226320
162007,Steampunk Rally,738,7.16789,6.75635,6660,9695,2.6157,2,8,45,60,https://boardgamegeek.com/boardgame/162007
143741,BANG! The Dice Game,739,6.90483,6.75618,23695,37878,1.2795,3,8,15,15,https://boardgamegeek.com/boardgame/143741
72321,The Networks,740,7.16203,6.75445,6354,9879,2.5868,1,5,60,90,https://boardgamegeek.com/boardgame/72321
181521,Warhammer Quest: The Adventure Card Game,741,7.31723,6.75388,5405,10398,2.724,1,4,30,60,https://boardgamegeek.com/boardgame/181521
116998,Thunderstone Advance: Towers of Ruin,742,7.33367,6.75354,4725,6990,2.7459,1,5,45,45,https://boardgamegeek.com/boardgame/116998
241724,Villagers,743,7.17314,6.75254,7008,13818,2.1911,1,5,30,60,https://boardgamegeek.com/boardgame/241724
15364,Vegas Showdown,744,7.15714,6.75191,6322,7629,2.3565,3,5,75,75,https://boardgamegeek.com/boardgame/15364
328479,Living Forest,745,7.29686,6.74941,4989,7987,2.1962,1,4,40,40,https://boardgamegeek.com/boardgame/328479
242574,Century: Eastern Wonders,746,7.13195,6.74935,7192,14039,2.0977,2,4,30,45,https://boardgamegeek.com/boardgame/242574
73761,K2,747,7.01635,6.74881,10339,11044,2.2544,1,5,60,60,https://boardgamegeek.com/boardgame/73761
284777,Unmatched: Jurassic Park – InGen vs Raptors,748,8.13887,6.74827,1959,6006,1.9565,2,2,20,40,https://boardgamegeek.com/boardgame/284777
9823,Advanced Squad Leader: Starter Kit #1,749,7.84507,6.74821,2629,5807,3.7678,2,2,120,120,https://boardgamegeek.com/boardgame/9823
279613,Unlock!: Timeless Adventures,750,7.79739,6.74747,2355,5174,2.0588,1,6,60,90,https://boardgamegeek.com/boardgame/279613
483,Diplomacy,751,7.03818,6.7473,13105,22841,3.3399,2,7,360,360,https://boardgamegeek.com/boardgame/483
180593,The Bloody Inn,752,7.05755,6.74624,8940,13518,2.3624,1,4,30,60,https://boardgamegeek.com/boardgame/180593
