id,name,rank,averageRating,bggRating,numRatings,numOwned,weight,minPlayers,maxPlayers,minTime,maxTime,link
224517,Brass: Birmingham,1,8.60973,8.42186,39586,54794,3.8922,2,4,60,120,https://boardgamegeek.com/boardgame/224517
161936,Pandemic Legacy: Season 1,2,8.53478,8.38838,51004,78863,2.8321,2,4,60,60,https://boardgamegeek.com/boardgame/161936
174430,Gloomhaven,3,8.61773,8.38325,58955,92198,3.8954,1,4,60,120,https://boardgamegeek.com/boardgame/174430
342942,Ark Nova,4,8.53032,8.30669,32763,48366,3.7283,1,4,90,150,https://boardgamegeek.com/boardgame/342942
233078,Twilight Imperium: Fourth Edition,5,8.61654,8.24075,21274,26166,4.3083,3,6,240,480,https://boardgamegeek.com/boardgame/233078
167791,Terraforming Mars,6,8.37516,8.2298,91159,126090,3.2591,1,5,120,120,https://boardgamegeek.com/boardgame/167791
291457,Gloomhaven: Jaws of the Lion,7,8.49375,8.20166,29706,65763,3.6316,1,4,30,120,https://boardgamegeek.com/boardgame/291457
316554,Dune: Imperium,8,8.41017,8.18886,36120,51067,3.0236,1,4,60,120,https://boardgamegeek.com/boardgame/316554
115746,War of the Ring: Second Edition,9,8.52966,8.17206,19405,31941,4.2063,2,4,150,180,https://boardgamegeek.com/boardgame/115746
187645,Star Wars: Rebellion,10,8.41683,8.16889,30277,47074,3.7393,2,4,180,240,https://boardgamegeek.com/boardgame/187645
162886,Spirit Island,11,8.35384,8.15175,45241,67380,4.0631,1,4,90,120,https://boardgamegeek.com/boardgame/162886
220308,Gaia Project,12,8.40704,8.14028,24900,30831,4.3906,1,4,60,150,https://boardgamegeek.com/boardgame/220308
182028,Through the Ages: A New Story of Civilization,13,8.31195,8.08393,29865,34525,4.4346,2,4,120,120,https://boardgamegeek.com/boardgame/182028
12333,Twilight Struggle,14,8.25254,8.07917,46921,65418,3.6031,2,2,120,180,https://boardgamegeek.com/boardgame/12333
193738,Great Western Trail,15,8.22707,8.06199,38814,43825,3.7044,2,4,75,150,https://boardgamegeek.com/boardgame/193738
169786,Scythe,16,8.16706,8.01561,77653,105344,3.4396,1,5,90,115,https://boardgamegeek.com/boardgame/169786
84876,The Castles of Burgundy,17,8.12943,8.00609,58366,74378,2.9889,2,4,30,90,https://boardgamegeek.com/boardgame/84876
173346,7 Wonders Duel,18,8.09896,7.97548,86279,140926,2.2262,2,2,30,30,https://boardgamegeek.com/boardgame/173346
167355,Nemesis,19,8.29561,7.96832,26927,37386,3.4359,1,5,90,180,https://boardgamegeek.com/boardgame/167355
28720,Brass: Lancashire,20,8.18908,7.96436,23695,30826,3.8579,2,4,60,120,https://boardgamegeek.com/boardgame/28720
246900,Eclipse: Second Dawn for the Galaxy,21,8.49697,7.96189,11133,15563,3.6429,2,6,60,200,https://boardgamegeek.com/boardgame/246900
124361,Concordia,22,8.10122,7.95199,37832,43397,2.996,2,5,100,100,https://boardgamegeek.com/boardgame/124361
177736,A Feast for Odin,23,8.17602,7.94505,25863,33082,3.8601,1,4,30,120,https://boardgamegeek.com/boardgame/177736
