id,name,rank,averageRating,bggRating,numRatings,numOwned,weight,minPlayers,maxPlayers,minTime,maxTime,link
270673,Silver & Gold,596,7.35773,6.79127,3669,7063,1.1587,2,4,20,20,https://boardgamegeek.com/boardgame/270673
132018,Churchill,597,7.66679,6.79114,2372,3686,3.2593,1,3,60,300,https://boardgamegeek.com/boardgame/132018
432,6 nimmt!,598,6.91839,6.79059,20593,28435,1.2101,2,10,45,45,https://boardgamegeek.com/boardgame/432
69789,Ascension: Deckbuilding Game,599,7.02937,6.79028,11804,12776,2.1511,1,4,30,30,https://boardgamegeek.com/boardgame/69789
26997,1989: Dawn of Freedom,600,7.7915,6.78798,2044,3864,3.3011,2,2,150,150,https://boardgamegeek.com/boardgame/26997
156943,Saint Petersburg (Second Edition),601,7.51208,6.7864,2838,3694,2.6827,2,5,60,60,https://boardgamegeek.com/boardgame/156943
308765,Praga Caput Regni,602,8.3373,6.78621,1401,3239,3.6639,1,4,30,120,https://boardgamegeek.com/boardgame/308765
163839,Feudum,603,7.67666,6.78535,2718,5148,4.5765,2,5,80,180,https://boardgamegeek.com/boardgame/163839
483,Diplomacy,604,7.0412,6.782,12100,20185,3.3573,2,7,360,360,https://boardgamegeek.com/boardgame/483
110277,Among the Stars,605,7.08431,6.78147,6675,9179,2.2341,2,4,30,30,https://boardgamegeek.com/boardgame/110277
201825,Ex Libris,606,7.21198,6.78115,5011,8208,2.5556,1,4,45,45,https://boardgamegeek.com/boardgame/201825
220520,Caverna: Cave vs Cave,607,7.19435,6.78093,5059,10407,2.5794,1,2,20,40,https://boardgamegeek.com/boardgame/220520
162286,Super Motherload,608,7.39316,6.78052,3353,4550,2.3009,2,4,60,75,https://boardgamegeek.com/boardgame/162286
244228,Reef,609,7.0969,6.7799,6807,9888,1.839,2,4,30,45,https://boardgamegeek.com/boardgame/244228
47185,Warhammer: Invasion,610,7.21968,6.77971,5693,7560,2.733,2,2,45,45,https://boardgamegeek.com/boardgame/47185
38996,Washington's War,611,7.63292,6.77957,2375,4447,2.8434,2,2,90,90,https://boardgamegeek.com/boardgame/38996
226320,My Little Scythe,612,7.37218,6.77896,3793,8816,2.0125,1,6,45,60,https://boardgamegeek.com/boardgame/226320
87890,Prêt-à-Porter,613,7.40617,6.77885,3355,6691,3.6066,2,4,90,90,https://boardgamegeek.com/boardgame/87890
71721,Space Hulk: Death Angel – The Card Game,614,6.9912,6.77782,12217,21371,2.4162,1,6,30,60,https://boardgamegeek.com/boardgame/71721
160499,King of New York,615,6.95683,6.77737,14169,21855,1.8688,2,6,40,40,https://boardgamegeek.com/boardgame/160499
2398,Cribbage,616,7.0553,6.7773,8297,12464,1.9047,2,4,30,30,https://boardgamegeek.com/boardgame/2398
24800,Conflict of Heroes: Awakening the Bear! – Russia 1941-42,617,7.50721,6.77652,2975,3893,3,1,4,120,120,https://boardgamegeek.com/boardgame/24800
170416,Vast: The Crystal Caverns,618,7.1712,6.77622,5829,11655,3.6,1,5,75,75,https://boardgamegeek.com/boardgame/170416
241724,Villagers,619,7.34712,6.77428,4173,8658,2.2178,1,5,30,60,https://boardgamegeek.com/boardgame/241724
169654,Deep Sea Adventure,620,6.99398,6.77395,10737,16807,1.1822,2,6,30,30,https://boardgamegeek.com/boardgame/169654
244992,The Mind,621,6.91284,6.77382,19282,32104,1.0748,2,4,15,15,https://boardgamegeek.com/boardgame/244992
41002,Vasco da Gama,622,7.24809,6.77324,4286,4862,3.2304,2,4,60,120,https://boardgamegeek.com/boardgame/41002
20100,Wits & Wagers,623,6.93472,6.77158,13365,18442,1.2142,3,7,25,25,https://boardgamegeek.com/boardgame/20100
131287,Panamax,624,7.3264,6.77078,3573,5003,3.7598,2,4,100,100,https://boardgamegeek.com/boardgame/131287
200147,Kanagawa,625,7.09653,6.76845,7029,10884,2.0253,2,4,45,45,https://boardgamegeek.com/boardgame/200147
18098,Napoleon's Triumph,626,7.97192,6.76743,1700,2860,3.6464,2,2,180,180,https://boardgamegeek.com/boardgame/18098
246684,Smartphone Inc.,627,7.75347,6.76695,2031,3895,2.7581,1,5,60,90,https://boardgamegeek.com/boardgame/246684
177590,13 Days: The Cuban Missile Crisis,628,7.31241,6.76685,3752,6421,2.3482,2,2,30,45,https://boardgamegeek.com/boardgame/177590
203417,Exit: The Game – The Secret Lab,629,7.12673,6.7668,5576,9722,2.5763,1,6,45,150,https://boardgamegeek.com/boardgame/203417
91872,Dungeons & Dragons: The Legend of Drizzt Board Game,630,7.2542,6.76656,5566,11710,2.5944,1,5,60,60,https://boardgamegeek.com/boardgame/91872
183840,Oh My Goods!,631,7.00754,6.76545,9370,17553,2.3028,2,4,30,30,https://boardgamegeek.com/boardgame/183840
30957,Tribune: Primus Inter Pares,632,7.22934,6.76526,4421,4723,2.8723,2,5,60,120,https://boardgamegeek.com/boardgame/30957
117915,Yedo,633,7.38606,6.76429,3473,4384,3.3547,2,5,120,180,https://boardgamegeek.com/boardgame/117915
21882,Blue Moon City,634,7.03613,6.76228,7691,8167,2.2967,2,4,30,50,https://boardgamegeek.com/boardgame/21882
113997,Tajemnicze Domostwo,635,7.17802,6.76099,4877,4574,1.8636,2,7,30,60,https://boardgamegeek.com/boardgame/113997
40628,Finca,636,7.06601,6.75923,6819,6468,2.0796,2,4,45,45,https://boardgamegeek.com/boardgame/40628
179275,One Deck Dungeon,637,7.0709,6.75875,8014,16506,2.0498,1,2,30,45,https://boardgamegeek.com/boardgame/179275
148575,Marvel Dice Masters: Avengers vs. X-Men,638,7.15555,6.75787,5532,9729,2.2967,2,2,60,60,https://boardgamegeek.com/boardgame/148575
